id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,fam,0.6316539999970701,0.6316539999970701,269.99999999999955,2.639968700008467,2.639968700008467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,1,0,1,0,,,,,fam,0.49829899999895133,0.49829899999895133,269.99999999999955,2.506855400002678,2.506855400002678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,2,0,2,0,,,,,fam,0.4984797999932198,0.4984797999932198,269.99999999999955,2.506456999995862,2.506456999995862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,3,0,3,0,,,,,fam,0.4991325000009965,0.4991325000009965,269.99999999999955,2.507742900008452,2.507742900008452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,4,0,4,0,,,,,fam,0.49920839999685995,0.49920839999685995,269.99999999999955,2.5073323999968125,2.5073323999968125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,green,1.2864363038508153,1.2916666666666667,2.308259299999918,0.9989707000058843,1.4599994756281376e-05,1e-05,1.291616399990744,1.3246510999888415,2.000133499997901,2.0335743999894476,2.308259299999918,2.308259299999918,2.6084902999864426,3.4415064999921015,1.1332471999921836,6.216411099987454,3.908151799987536,2.7749045999953523,0.48509,0.14766137287115105,0.0069216268533352065,6.216411099987454,-0.11578183601639762,-0.09190406087416339,space,3.6059500999981537,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,green,1.6850971893166677,1.6916666666666667,2.3083379000017885,0.998818799998844,1.6300007700920105e-05,2e-05,1.6915184000099543,1.7249219000077574,1.9999982000008458,2.0332992000039667,2.3083379000017885,2.3083379000017885,2.6086170000053244,2.3083379000017885,0.0,6.39140629999747,4.083068399995682,4.083068399995682,1.63974,-0.13380616704693318,0.06283072191769037,6.39140629999747,-0.12352719159499104,0.0811961999920212,space,3.780820300002233,0.033118100007413886,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,red,1.3173594025954154,1.325,2.308610599997337,0.9985081000049831,1.3999990187585354e-05,1e-05,1.325244499996188,1.3587634999857983,1.9999341999937315,,2.308610599997337,2.308610599997337,2.60863829999289,2.308610599997337,0.0,3.9751091999933124,1.6664985999959754,1.6664985999959754,1.58312,-0.14281178541071915,0.03816521851493357,3.9751091999933124,-0.12415014735358951,-0.080240456557599,space,1.3666044999990845,,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,red,0.7815139153510408,0.7833333333333333,2.3082626999967033,0.997766500004218,2.0199993741698563e-05,2e-05,0.7834438999998383,0.8167403999977978,1.999621399998432,2.0330300999921747,2.3082626999967033,2.3082626999967033,2.6083146999881137,2.316531699994812,0.008268999998108484,3.833112099993741,1.5248493999970378,1.5165803999989294,1.08891,-0.040755701835662426,-0.14209420369730957,3.833112099993741,0.09368346725076548,-0.11434683170234616,space,1.2231823000038275,0.03318149999540765,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
,,,,,,,,,,,,,4,0,4,0,test,,,,,,green,1.3026647747223017,1.3083333333333333,2.3084881999966456,0.9986519000085536,2.3899992811493576e-05,2e-05,1.308393299987074,1.341896399986581,1.9998488999990514,2.0329537999932654,2.3084881999966456,2.3084881999966456,2.607983599998988,2.3165685999993,0.008080400002654642,4.425196699987282,2.1167084999906365,2.108628099987982,1.38874,-0.1388856252513326,-0.05062186340936422,4.425196699987282,-0.1203149308954107,-0.08588426724448704,space,1.8141040000045905,0.03307279999717139,,,,,,,,p10_base1_01,001,2023-05-05_15h52.36.363,expectation_shapes_perceived_time,2022.2.4,120.39460537091526,
