delay,expectation,congruency,stim_color,distractor_color,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,distractor.started,distractor.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,space2pass.keys,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,0,0,0,0,0,-1,-1,0,fam,0.564974999986589,0.564974999986589,269.99999999999955,2.573312599968631,2.573312599968631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
,,,,,,1,0,1,0,0,-1,-1,0,fam,0.4975179000175558,0.4975179000175558,269.99999999999955,2.50594220001949,2.50594220001949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49758020002627745,0.49758020002627745,269.99999999999955,2.505758600018453,2.505758600018453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4973083999939263,0.4973083999939263,269.99999999999955,2.505754599987995,2.505754599987995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5413375999778509,0.5413375999778509,269.99999999999955,2.5494600999518298,2.5494600999518298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
,,,,,,1,0,1,0,0,-1,-1,0,fam,0.4973009999957867,0.4973009999957867,269.99999999999955,2.506085700006224,2.506085700006224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49747310002567247,0.49747310002567247,269.99999999999955,2.505988900025841,2.505988900025841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
,,,,,,3,0,3,0,0,-1,-1,0,fam,0.49765340000158176,0.49765340000158176,269.99999999999955,2.505864600010682,2.505864600010682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-300,0.5,none,green,red,1070.762907457559,,,,,0,0,0,15,trial,,,,,,green,1.070762907457559,1.075,-0.3,-0.3,0.7374329074575591,0.7416666666666667,trial_list_0.5_green.csv,2.3083276000106707,0.9984344000113197,3e-05,3e-05,0.03313,0.7415009000105783,0.7750488999881782,1.0749555000220425,1.1084974000114016,2.000118099967949,2.0334278999944218,2.3083276000106707,2.3083276000106707,0.0,2.3083276000106707,2.5081643000012264,4.1997742999810725,1.8914466999704018,1.8914466999704018,0.47949,0.1475168213757151,0.009517214282304199,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
233,0.5,none,green,red,736.0407985418567,,,,,0,1,1,399,trial,,,,,,green,0.7360407985418567,0.7416666666666667,0.233,0.23333333333333334,1.0023707985418568,1.0083333333333333,trial_list_0.5_green.csv,2.3083661000127904,0.9968433000030927,3e-05,3e-05,0.03339,1.0084451000439003,1.0416480000130832,0.7414791000192054,0.7751878000563011,2.000240500026848,2.0334695000201464,2.3083661000127904,2.5083171000005677,0.19995099998777732,2.3083661000127904,2.5083171000005677,3.5077585000544786,1.1993924000416882,0.9994414000539109,0.72373,0.11278699950889463,-0.09555565236170241,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
233,0.5,none,red,green,1547.4093276474282,,,,,0,2,2,216,trial,,,,,,red,1.5474093276474281,1.55,0.233,0.23333333333333334,1.813739327647428,1.8166666666666667,trial_list_0.5_green.csv,2.308225999993738,0.9990120000438765,4e-05,4e-05,0.03331,1.816588399989996,1.8502816999680363,1.550176399992779,1.5835336999734864,1.9999411999597214,2.033325499971397,2.308225999993738,2.3669135000091046,0.05868750001536682,2.308225999993738,2.5081792999990284,3.2916354999761097,0.9834094999823719,0.9247219999670051,1.63127,-0.13542959248575295,0.059250446712516926,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-300,0.5,none,green,red,499.8907665076944,,,,,0,3,3,67,trial,,,,,,green,0.49989076650769443,0.5,-0.3,-0.3,0.16656076650769444,0.16666666666666666,trial_list_0.5_green.csv,2.308459000021685,0.9975153999985196,3e-05,3e-05,0.0331,0.16655720002017915,0.2000652000424452,0.4999843999976292,0.5334741999977268,1.9999022000120021,2.0332612000056542,2.308459000021685,2.308459000021685,0.0,2.308459000021685,2.5082217000308447,3.5167070000316016,1.2082480000099167,1.2082480000099167,0.10503,0.04789377859404938,0.13984983349462418,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
167,0.5,none,green,red,616.2976003768565,,,,,0,4,4,279,trial,,,,,,green,0.6162976003768565,0.6166666666666667,0.167,0.16666666666666666,0.8166276003768566,0.8166666666666667,trial_list_0.5_green.csv,2.3085357999661937,0.9966628999682143,3e-05,3e-05,,0.8168196000042371,0.8503499999642372,0.6169445000123233,0.6503453999757767,2.0004939999780618,,2.3085357999661937,2.3170743999653496,0.00853859999915585,2.3085357999661937,2.5085181000176817,3.4832931999699213,1.1747574000037275,1.1662188000045717,0.39639,0.14006163388991835,0.04727080143784744,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
-33,0.5,none,green,red,339.99059092155005,,,,,0,5,5,431,trial,,,,,,green,0.33999059092155004,0.3416666666666667,-0.033,-0.03333333333333333,0.27366059092155004,0.275,trial_list_0.5_green.csv,2.3082848000340164,0.9967574999900535,4e-05,4e-05,0.03306,0.2747255000285804,0.308130000019446,0.3415021999971941,0.3747787000029348,1.9997119000181556,2.0333159000147134,2.3082848000340164,2.3082848000340164,0.0,2.3082848000340164,2.508055599988438,4.024759099993389,1.7164742999593727,1.7164742999593727,0.5554,0.14559023943946708,-0.02559828385748872,None,p12_base_02_cont,001,2023-05-10_11h09.03.874,expectation_shapes_perceived_time,2022.2.4,120.28483444436092,
