id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,fam,1.3311902000568807,1.3311902000568807,270.0000000000009,3.3228767999680713,3.3228767999680713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,1,0,1,0,,,,,fam,0.49751429993193597,0.49751429993193597,270.0000000000009,2.489304699935019,2.489304699935019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,2,0,2,0,,,,,fam,0.4971275000134483,0.4971275000134483,270.0000000000009,2.4883640999905765,2.4883640999905765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,3,0,3,0,,,,,fam,0.49776569998357445,0.49776569998357445,270.0000000000009,2.4896917999722064,2.4896917999722064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,4,0,4,0,,,,,fam,0.49921099992934614,0.49921099992934614,270.0000000000009,2.4910250999964774,2.4910250999964774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,green,1.7845677090797092,1.7603305785123968,2.2920404000906274,0.9983202000148594,3.15000070258975e-05,3e-05,0.03337190009187907,1.774774800054729,1.808059300063178,1.9997033000690863,2.0332130000460893,2.2920404000906274,2.2920404000906274,2.591994700022042,4.141900300048292,1.8498598999576643,8.641819100012071,6.349778699921444,4.49991879996378,1.61339,-0.13854342318944562,0.051551041186770466,8.641819100012071,-0.09258215489058977,0.11524033387796466,space,6.044879299937747,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,green,1.3490538504735903,1.3305785123966942,2.291161499917507,0.9971837000921369,3.909994848072529e-05,4e-05,0.03322899993509054,1.3417037999024615,1.3748131999745965,1.9996319999918342,2.0328137999167666,2.291161499917507,2.291161499917507,2.591431299922988,2.6582901999354362,0.3671287000179291,5.674780600005761,3.3836191000882536,3.0164904000703245,0.77336,0.09658046392390197,-0.11191069629277532,5.674780600005761,-0.13151164956165945,-0.06750167395006736,space,3.083146799937822,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,green,1.3826350595755392,1.3636363636363638,2.2916948000201955,0.997141300002113,3.890006337314844e-05,4e-05,,1.3749296000460163,1.4083911000052467,1.9999927000608295,,2.2916948000201955,2.2916948000201955,2.591820599976927,2.583209100062959,0.29151430004276335,5.216487099998631,2.924792299978435,2.6332779999356717,1.0615,-0.02838382951779835,-0.14507290642430268,5.216487099998631,-0.13788859179036655,-0.05327782100048366,space,2.6244060000171885,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,green,0.5574734947389,0.5537190082644629,2.2918599999975413,0.9973014000570402,3.909994848072529e-05,4e-05,0.03340419998858124,0.5582016999833286,0.591785499942489,1.9998811999103054,2.033322299947031,2.2918599999975413,2.2918599999975413,2.591441399999894,2.2918599999975413,0.0,4.416041199932806,2.124181199935265,2.124181199935265,0.51304,0.14769951933604863,-0.006053258989182321,4.416041199932806,0.14542042926602156,-0.02654597349083192,space,1.8224290000507608,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,,,,,4,0,4,0,test,,,,,,red,1.7012375061392975,1.677685950413223,2.2916569999651983,0.9989662000443786,3.860006108880043e-05,4e-05,0.03331219998653978,1.691848500049673,1.7250064000254497,2.0000132999848574,2.033336100052111,2.2916569999651983,2.2916569999651983,2.5918199999723583,2.7668392000487074,0.4751822000835091,5.199758299975656,2.9081013000104576,2.4329190999269485,1.65655,-0.13030346271047077,0.06980542645203792,5.199758299975656,-0.11925302857596927,0.0873527625891075,space,2.6056462000124156,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5572569000069052,0.5572569000069052,270.0000000000009,2.5489046000875533,2.5489046000875533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.4974651000229642,0.4974651000229642,270.0000000000009,2.4891169000184163,2.4891169000184163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.4975918000563979,0.4975918000563979,270.0000000000009,2.4892614000709727,2.4892614000709727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4985249999444932,0.4985249999444932,270.0000000000009,2.490063500008546,2.490063500008546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,-500,0.5,none,59,green,red,no_Expectation,,,,,,0,0,0,0,train_doubleStim,,,,,,green,0.904526706540455,0.8925619834710744,2.2917178999632597,0.9978025000309572,4e-05,4e-05,,0.9002513999585062,0.9336860999464989,2.0001859000185505,,2.2917178999632597,2.2917178999632597,2.4915629000170156,3.0414156999904662,0.7496978000272065,3.9333184000570327,1.641600500093773,0.8919027000665665,1.05257,-0.02430203525927347,-0.1458122115556408,,,,None,,-0.5,-0.49586776859504134,0.37119670654045495,0.36363636363636365,training_double_stim.csv,0.3666609999490902,0.40012420003768057,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,500,0.5,none,98,red,green,no_Expectation,,,,,,0,1,1,5,train_doubleStim,,,,,,red,0.25047693149031086,0.24793388429752067,2.2917652999749407,0.9954874999821186,3e-05,3e-05,0.03327,0.2500398999545723,0.2835055999457836,2.0003457999555394,2.0334453999530524,2.2917652999749407,2.2917652999749407,2.4918627999722958,2.7080411999486387,0.41627589997369796,4.12528159993235,1.8335162999574095,1.4172403999837115,0.19384,0.08455693424917395,0.12125145288560793,,,,None,,0.5,0.49586776859504134,0.7838069314903108,0.7768595041322315,training_double_stim.csv,0.7834160999627784,0.8169196000089869,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,500,0.5,none,25,green,red,no_Expectation,,,,,,0,2,2,6,train_doubleStim,,,,,,green,0.5692498829068313,0.5619834710743802,2.2915912000462413,0.9963230999419466,4e-05,4e-05,0.03329,0.5669075000332668,0.5999022000469267,2.0001360999885947,2.033331700018607,2.2915912000462413,2.2915912000462413,2.491256200009957,2.51622959994711,0.22463839990086854,4.383312799967825,2.091721599921584,1.8670832000207156,0.97354,0.012276074278853584,-0.14731289134624298,,,,None,,0.5,0.49586776859504134,1.1025798829068312,1.0909090909090908,training_double_stim.csv,1.1002638000063598,1.133444600040093,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,-500,0.5,none,23,green,red,no_Expectation,,,,,,0,3,3,2,train_doubleStim,,,,,,green,1.1663698542133776,1.1487603305785123,2.29127189994324,0.9973487999523059,3e-05,3e-05,,1.1582424999214709,1.1915917999576777,1.9999358999775723,,2.29127189994324,2.29127189994324,2.491236099973321,2.7917587999254465,0.5004868999822065,4.216633499949239,1.9253616000059992,1.4248747000237927,1.36458,-0.13464552345468078,-0.06101125281540224,,,,None,,-0.5,-0.49586776859504134,0.6330398542133775,0.628099173553719,training_double_stim.csv,0.6334161999402568,0.6668115999782458,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,500,0.5,none,60,red,green,no_Expectation,,,,,,0,4,4,8,train_doubleStim,,,,,,red,1.3332282917887628,1.3140495867768596,2.291112900013104,0.9976559000788257,4e-05,4e-05,0.0333,1.3249264999758452,1.3582731999922544,1.9996039000106975,2.03271970001515,2.291112900013104,2.291112900013104,2.4915433999849483,2.833367699990049,0.5422547999769449,4.45827449997887,2.167161599965766,1.6249067999888211,1.45141,-0.14610457302245528,-0.022477626618839276,,,,None,,0.5,0.49586776859504134,1.8665582917887626,1.8429752066115703,training_double_stim.csv,1.858320500003174,1.8915697999764234,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,500,0.5,none,33,green,red,no_Expectation,,,,,,0,5,5,7,train_doubleStim,,,,,,green,1.2444809455348924,1.231404958677686,2.291558500030078,0.9962469000602141,3e-05,3e-05,0.03324,1.241547100013122,1.2749495999887586,1.9999053999781609,2.033321400056593,2.291558500030078,2.291558500030078,2.4915887999814004,2.874969399999827,0.5834108999697492,3.891678199986927,1.6001196999568492,1.0167087999871,1.79014,-0.09055249339585139,0.11684192696238889,,,,None,,0.5,0.49586776859504134,1.7778109455348925,1.7603305785123968,training_double_stim.csv,1.7744406999554485,1.8077829000540078,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,-500,0.5,none,46,red,green,no_Expectation,,,,,,0,6,6,4,train_doubleStim,,,,,,red,0.9392002331318972,0.9256198347107438,2.291952100000344,0.9966418000403792,4e-05,4e-05,0.03329,0.9336747999768704,0.9667282999726012,1.9999077999964356,2.0332767999498174,2.291952100000344,2.291952100000344,2.492185699986294,2.675190699985251,0.3832385999849066,4.133729499997571,1.841777399997227,1.4585388000123203,0.51248,0.147709973746774,-0.005792547990069568,,,,None,,-0.5,-0.49586776859504134,0.40587023313189713,0.4049586776859504,training_double_stim.csv,0.4084094000281766,0.44186300004366785,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,-500,0.5,none,77,green,red,no_Expectation,,,,,,0,7,7,1,train_doubleStim,,,,,,green,1.3222771586394269,1.3057851239669422,2.2914043999044225,0.9962312000570819,4e-05,4e-05,,1.3165246999124065,1.349897199892439,1.9996982999145985,,2.2914043999044225,2.2914043999044225,2.4914397998945788,2.641441599931568,0.35003720002714545,4.616549799917266,2.3251454000128433,1.9751081999856979,1.00612,-0.002842234285298913,-0.14779618283554347,,,,None,,-0.5,-0.49586776859504134,0.7889471586394269,0.7768595041322315,training_double_stim.csv,0.7831518999300897,0.8165502999909222,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,,0,8,8,3,train_doubleStim,,,,,,red,0.7925882822666863,0.7851239669421488,2.2920397999696434,0.9962927000597119,3e-05,3e-05,0.0333,0.7914466999936849,0.8247513000387698,2.0000618000049144,2.0334647999843583,2.2920397999696434,2.2920397999696434,2.492077899980359,2.7000492999795824,0.4080095000099391,4.78326970001217,2.4912299000425264,2.0832204000325873,0.72817,0.1114455485306548,-0.09711683514814203,,,,None,,-0.5,-0.49586776859504134,0.2592582822666863,0.25619834710743805,training_double_stim.csv,0.2585361000383273,0.2914003999903798,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
1,500,0.5,none,88,red,green,no_Expectation,,,,,,0,9,9,9,train_doubleStim,,,,,,red,1.2084499350474283,1.1983471074380165,2.291665499913506,0.9969513000687584,7e-05,7e-05,,1.2083912999369204,1.2416436999337748,1.999850899912417,,2.291665499913506,2.291665499913506,2.491507999948226,2.799825599999167,0.5081601000856608,3.6333425999619067,1.3416771000484005,0.8335169999627396,1.56283,-0.14495287681389743,0.028990575362779485,,,,None,,0.5,0.49586776859504134,1.7417799350474281,1.71900826446281,training_double_stim.csv,1.733304399996996,1.766525899991393,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5647860000608489,0.5647860000608489,270.0000000000009,2.556643099989742,2.556643099989742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.4993814999470487,0.4993814999470487,270.0000000000009,2.490883699967526,2.490883699967526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p13_base_01,001,2023-05-10_15h24.17.119,expectation_shapes_perceived_time,2022.2.4,119.57474437053165,
