id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,fam,0.6561133000068367,0.6561133000068367,270.0,2.6565545999910682,2.6565545999910682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,1,0,1,0,,,,,fam,0.49918479996267706,0.49918479996267706,270.0,2.4991267999866977,2.4991267999866977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,2,0,2,0,,,,,fam,0.49810680001974106,0.49810680001974106,270.0,2.498496400017757,2.498496400017757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,3,0,3,0,,,,,fam,0.4987372999894433,0.4987372999894433,270.0,2.498158100002911,2.498158100002911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,4,0,4,0,,,,,fam,0.4983623999869451,0.4983623999869451,270.0,2.498288600007072,2.498288600007072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,red,0.30761200017675694,0.30833333333333335,2.300333100021817,0.9985041000181809,2.870004391297698e-05,3e-05,0.30876020004507154,0.34204570000292733,2.0003323000273667,2.300333100021817,2.300333100021817,0.0,2.300333100021817,2.6003451000433415,5.775077800033614,3.4747447000117972,3.4747447000117972,0.20607,0.08915358179104274,0.11791280172363719,5.775077800033614,0.12163517351038675,0.08400401491350298,space,3.1700679999776185,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,green,0.27887863176207134,0.275,2.2998701999895275,0.9988387000048533,1.2999982573091984e-05,1e-05,0.27509020001161844,0.3085673999739811,2.0001376000000164,2.2998701999895275,2.3079358999966644,0.008065700007136911,2.2998701999895275,2.5994775000144728,9.158448599977419,6.858578399987891,6.850512699980754,0.25247,0.10533412799349606,0.1037136029474423,9.158448599977419,0.11356731756524166,0.09462692184323379,space,6.556027600017842,0.03336870000930503,2.033438300015405,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,green,1.2989587080240512,1.3,2.299654900038149,0.9985162000521086,1.4000048395246267e-05,1e-05,1.3001587000326253,1.333151100028772,1.9998115000198595,2.299654900038149,2.832898300024681,0.5332433999865316,2.299654900038149,2.599828800011892,6.616894700040575,4.317239800002426,3.7839964000158943,1.01639,-0.00760966567968996,-0.14762751418598524,6.616894700040575,-0.1193068523401091,-0.08727923545257102,space,4.013553400000092,0.03330050001386553,2.033120800042525,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,green,1.306456913005965,1.3083333333333333,2.3002579000312835,0.9981947999913245,1.2500036973506212e-05,1e-05,1.308273000002373,1.3414802000042982,2.0000740000396036,2.3002579000312835,2.933558600023389,0.6333006999921054,2.3002579000312835,2.5999590000137687,5.210302199993748,2.9100442999624647,2.2767435999703594,1.25,-0.10452700597570448,-0.10452700597570448,5.210302199993748,-0.12132953842443243,-0.08444485219481465,space,2.604296899982728,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,,,,,4,0,4,0,test,,,,,,red,0.27876455267901123,0.275,2.2992132999934256,0.9962088000029325,1.2899981811642647e-05,1e-05,0.27473309997003525,0.30825160001404583,1.999545999977272,2.2992132999934256,2.2992132999934256,0.0,2.2992132999934256,2.5997790999826975,6.174966999969911,3.8757536999764852,3.8757536999764852,0.36806,0.13530508037719657,0.05953423536596649,6.174966999969911,0.11353339692908501,0.09466761715725583,space,3.5713308999547735,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,0,0,0,0,0,-1,-1,0,fam,0.5324275000020862,0.5324275000020862,270.0,2.532049100031145,2.532049100031145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,1,0,1,0,0,-1,-1,0,fam,0.4989977999939583,0.4989977999939583,270.0,2.4991171000292525,2.4991171000292525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,2,0,2,0,0,-1,-1,0,fam,0.49893669999437407,0.49893669999437407,270.0,2.498788900033105,2.498788900033105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
,,,,,,,,,3,0,3,0,0,-1,-1,0,fam,0.4987443999852985,0.4987443999852985,270.0,2.498885400011204,2.498885400011204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,-500,0.5,none,68,red,green,no_Expectation,,,,,,0,0,0,3,train_doubleStim,,,,,,red,0.6952750969143701,0.6916666666666667,2.299310099973809,0.9915426999796182,1e-05,1e-05,0.6913505999837071,0.7246323999715969,1.9993554999819025,2.299310099973809,3.2166536999866366,0.9173436000128277,2.299310099973809,2.4994951999979094,5.024529199989047,2.725219100015238,1.8078755000024103,0.1838,0.08069396792347286,0.12385585774300485,,,,None,,0.03288,2.0325674999621697,-0.5,-0.5,0.16194509691437003,0.15833333333333333,training_double_stim.csv,0.15834309998899698,0.19151479995343834,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
1,500,0.5,none,33,green,red,no_Expectation,,,,,,0,1,1,7,train_doubleStim,,,,,,green,0.25403061246522474,0.25,2.300082999980077,0.9961861000047065,1e-05,1e-05,0.2503619999624789,0.2833851000177674,2.0001633999636397,2.300082999980077,3.0419358999934047,0.7418529000133276,2.300082999980077,2.50046139996266,4.533611099992413,2.233528100012336,1.4916751999990083,0.36756,0.13521218389629117,0.05974491846580308,,,,None,,,,0.5,0.5,0.7873606124652248,0.7833333333333333,training_double_stim.csv,0.7834928999654949,0.8169448999688029,p15_high2_01,001,2023-05-15_14h56.27.774,expectation_shapes_perceived_time,2022.2.4,119.80782825861411,
