id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,0,0,0,0,,,,,fam,1.3392600000079256,1.3392600000079256,269.99999999999955,3.347874500002945,3.347874500002945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,1,0,1,0,,,,,fam,0.49647849999018945,0.49647849999018945,269.99999999999955,2.505381499999203,2.505381499999203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,2,0,2,0,,,,,fam,0.49703619998763315,0.49703619998763315,269.99999999999955,2.5060222999891266,2.5060222999891266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,3,0,3,0,,,,,fam,0.49747329999809153,0.49747329999809153,269.99999999999955,2.505487600021297,2.505487600021297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,4,0,4,0,,,,,fam,0.49762749997898936,0.49762749997898936,269.99999999999955,2.505709199991543,2.505709199991543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,5,0,5,0,,,,,fam,0.4974434000032488,0.4974434000032488,269.99999999999955,2.5060586000035983,2.5060586000035983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,6,0,6,0,,,,,fam,0.4974385999958031,0.4974385999958031,269.99999999999955,2.5055797999957576,2.5055797999957576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,7,0,7,0,,,,,fam,0.4970477999886498,0.4970477999886498,269.99999999999955,2.505486899986863,2.505486899986863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,8,0,8,0,,,,,fam,0.49744820001069456,0.49744820001069456,269.99999999999955,2.5058013000234496,2.5058013000234496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,9,0,9,0,,,,,fam,0.49858230000245385,0.49858230000245385,269.99999999999955,2.5070475000247825,2.5070475000247825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,10,0,10,0,,,,,fam,0.4972641000058502,0.4972641000058502,269.99999999999955,2.505797799996799,2.505797799996799,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,11,0,11,0,,,,,fam,0.49726440000813454,0.49726440000813454,269.99999999999955,2.505388999998104,2.505388999998104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,12,0,12,0,,,,,fam,0.4986897999770008,0.4986897999770008,269.99999999999955,2.507293299975572,2.507293299975572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,13,0,13,0,,,,,fam,0.4975540000014007,0.4975540000014007,269.99999999999955,2.505937300011283,2.505937300011283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,14,0,14,0,,,,,fam,0.49749189999420196,0.49749189999420196,269.99999999999955,2.5058970999962185,2.5058970999962185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,15,0,15,0,,,,,fam,0.49736189999384806,0.49736189999384806,269.99999999999955,2.505356400011806,2.505356400011806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,16,0,16,0,,,,,fam,0.49776560001191683,0.49776560001191683,269.99999999999955,2.5065570999868214,2.5065570999868214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,17,0,17,0,,,,,fam,0.4974497999937739,0.4974497999937739,269.99999999999955,2.5058360999973956,2.5058360999973956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,18,0,18,0,,,,,fam,0.4972728000138886,0.4972728000138886,269.99999999999955,2.5058544000203256,2.5058544000203256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
,,,,,,,,19,0,19,0,,,,,fam,0.4977150999766309,0.4977150999766309,269.99999999999955,2.505588699976215,2.505588699976215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_base01,001,2023-04-29_13h16.43.447,expectation_shapes_perceived_time,2022.2.4,120.36301485659816,
