id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,0,0,0,0,,,,,fam,0.7060687000048347,0.7060687000048347,270.0000000000009,2.6978222000179812,2.6978222000179812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,1,0,1,0,,,,,fam,0.49722429999383166,0.49722429999383166,270.0000000000009,2.4888397000031546,2.4888397000031546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,2,0,2,0,,,,,fam,0.49763939998229034,0.49763939998229034,270.0000000000009,2.4893200999940746,2.4893200999940746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,3,0,3,0,,,,,fam,0.496800599998096,0.496800599998096,270.0000000000009,2.488694300001953,2.488694300001953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,4,0,4,0,,,,,fam,0.49773289999575354,0.49773289999575354,270.0000000000009,2.489487199985888,2.489487199985888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,,,,,0,0,0,0,test,,,,,,red,1.8357134734621363,1.8099173553719008,2.2914434999984223,0.9983184000011533,3.940000897273421e-05,4e-05,1.8251302000135183,1.8584378999948967,2.0003433999954723,2.2914434999984223,2.2914434999984223,2.5913553000136744,3.4499822999932803,1.158538799994858,6.649991699989187,4.358548199990764,3.2000093999959063,1.62888,-0.13587124406305215,0.05823053316987949,6.649991699989187,-0.072952444829618,0.12856800048951317,space,4.052985799993621,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,,,,,1,0,1,0,test,,,,,,green,0.3223205411059661,0.3223140495867769,2.2915146999876015,0.9968045999994501,1.7699989257380366e-05,2e-05,0.324695299990708,0.3581337999785319,1.999869999999646,2.2915146999876015,2.2915146999876015,2.59152349998476,2.8499745999870356,0.5584598999994341,5.508294900006149,3.2167802000185475,2.6583203000191133,0.71152,0.1163708136377752,-0.09115713734959056,5.508294900006149,0.12538563560787927,0.07829580026858426,space,2.916460599983111,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,,,,,2,0,2,0,test,,,,,,green,1.638897069059551,1.6198347107438016,2.2916153999976814,0.996996300003957,3.969998215325177e-05,4e-05,1.6332281999930274,1.6664144999813288,1.9998041999933776,2.2916153999976814,2.2916153999976814,2.5926547999843024,2.5926547999843024,0.301039399986621,5.383422299986705,3.091806899989024,2.790767500002403,1.63615,-0.13450574449252273,0.06131879528335595,5.383422299986705,-0.13397199223249495,0.06247635755824947,space,2.7900674999982584,0.03318539998144843,2.0330295999883674,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,,,,,3,0,3,0,test,,,,,,red,1.6695524778072217,1.6528925619834711,2.291862400015816,0.9964834999991581,3.250001464039087e-05,3e-05,1.6665857000043616,1.699904700013576,1.9998121999960858,2.291862400015816,2.291862400015816,2.59164279999095,2.8000504999945406,0.5081880999787245,4.9250494000152685,2.6331869999994524,2.124998900020728,1.54103,-0.1465969448999703,0.019003307672218372,4.9250494000152685,-0.12734357541546523,0.07506932633836297,space,2.327615699992748,,,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
,,,,,,,,,,,,4,0,4,0,test,,,,,,red,1.8023457473892557,1.7768595041322315,2.2916141000168864,0.9970981000224128,3.190001007169485e-05,3e-05,1.7917128000117373,1.8251721000124235,1.999980599997798,2.2916141000168864,2.2916141000168864,2.5917620999971405,3.2331823999993503,0.9415682999824639,10.716723899997305,8.425109799980419,7.483541499997955,1.77839,-0.09480071474002708,0.1134222837068181,10.716723899997305,-0.08600481020019508,0.12022879263686528,space,8.121705500001553,0.03341420000651851,2.0333562000014354,,,,,,,,ahmed_high0,001,2023-04-29_14h43.11.067,expectation_shapes_perceived_time,2022.2.4,119.5297222421471,
