id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,responseStarted,rtUntillMotionTreshold,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,fam,1.1819984000176191,1.1819984000176191,270.0,3.1820234000042547,3.1820234000042547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,1,0,1,0,,,,,fam,0.498773799976334,0.498773799976334,270.0,2.4988924999779556,2.4988924999779556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,2,0,2,0,,,,,fam,0.4990690000122413,0.4990690000122413,270.0,2.498629700014135,2.498629700014135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,3,0,3,0,,,,,fam,0.49840429998585023,0.49840429998585023,270.0,2.4987716999894474,2.4987716999894474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,4,0,4,0,,,,,fam,0.4986161999986507,0.4986161999986507,270.0,2.499150000017835,2.499150000017835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,green,1.5994138052314906,1.6,2.3001721000182442,0.9990206999937072,1.6600009985268116e-05,2e-05,0.03307370000402443,1.599860800022725,1.6330843000032473,2.0001085000112653,2.0331257000216283,2.3001721000182442,2.3001721000182442,2.5911843000212684,0.2910122000030242,2.5997239999996964,9.09148030000506,6.7913081999868155,6.500295999983791,0.66327,0.12879979806666336,-0.07254241500306327,9.09148030000506,-0.14067239707931806,0.04542099356518523,space,6.487603100016713,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,red,0.7424741679273495,0.7416666666666667,2.299841000000015,0.9983529000019189,2.4299981305375695e-05,2e-05,0.033311699982732534,0.7418734999955632,0.7750247999792919,2.0000930999813136,2.0337384000013117,2.299841000000015,2.299841000000015,2.3670837999961805,0.06724279999616556,2.5998226999945473,5.492067899991525,3.1922268999915104,3.124984099995345,0.4543,0.1463023467152207,0.021152146513043955,5.492067899991525,0.10696890432709165,-0.1020266801554938,space,2.8920921999961138,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,red,0.5526842252054822,0.55,2.3002422000281513,0.9982174999895506,2.4300010409206152e-05,2e-05,,0.5500232000194956,0.583236600010423,1.9999895000073593,,2.3002422000281513,2.3002422000281513,2.3002422000281513,0.0,2.5999667000141926,4.700018000003183,2.399775799975032,2.399775799975032,0.67334,0.12644225904489087,-0.076577706182117,4.700018000003183,0.1458033633238421,-0.02435506518048381,space,2.0960349999950267,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,green,0.6129871446397781,0.6166666666666667,2.2997152999741957,0.9984980000008363,1.659998088143766e-05,2e-05,,0.6164147999952547,0.6497108999756165,1.9997671999735758,,2.2997152999741957,2.2997152999741957,2.2997152999741957,0.0,2.599819999973988,5.025060899992241,2.725345600018045,2.725345600018045,1.13552,-0.06105183648442179,-0.1346271266066737,5.025060899992241,0.13860827119957672,-0.051376425640117386,space,2.419138600002043,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
,,,,,,,,,,,,,4,0,4,0,test,,,,,,green,1.7761807196075932,1.775,2.3001189999922644,0.9982160000072327,1.889999839477241e-05,2e-05,0.033334100007778034,1.7751025000179652,1.8084227000072133,2.000010799994925,2.0334135000011884,2.3001189999922644,2.3001189999922644,2.525169400003506,0.22505040001124144,2.5999235000053886,4.900062500004424,2.5999435000121593,2.374893100000918,0.71086,0.11655917811264009,-0.09091615892785927,4.900062500004424,-0.09558607859585368,0.1127612146757794,space,2.298883699986618,,,,,,,,sarah_high1,001,2023-04-29_16h58.53.797,expectation_shapes_perceived_time,2022.2.4,120.09242313356899,
