id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,responseStarted,rtUntillMotionTreshold,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,fam,1.1901535000069998,1.1901535000069998,270.0,3.1907740000169724,3.1907740000169724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,1,0,1,0,,,,,fam,0.4983581999549642,0.4983581999549642,270.0,2.4982394999824464,2.4982394999824464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,2,0,2,0,,,,,fam,0.49827710003592074,0.49827710003592074,270.0,2.4985832000384107,2.4985832000384107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,3,0,3,0,,,,,fam,0.49898179998854175,0.49898179998854175,270.0,2.499377000029199,2.499377000029199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,4,0,4,0,,,,,fam,0.4990277000470087,0.4990277000470087,270.0,2.4986560000106692,2.4986560000106692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,red,0.7565838266629322,0.7583333333333333,2.3001892000320368,0.9979058000026271,1.4099990949034691e-05,1e-05,0.033877499983645976,0.7585931000066921,0.792062500026077,1.9999844999983907,2.0333175000268966,2.3001892000320368,2.3001892000320368,2.3164858000236563,0.016296599991619587,2.6004319000057876,10.424824599991553,8.124635399959516,8.108338799967896,1.76097,-0.1008626783539464,0.10806715537922829,10.424824599991553,0.10234279640121993,-0.10666649887039684,space,7.822097999975085,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,green,0.4483301915002847,0.45,2.3000170000013895,0.9982687999727204,1.4099990949034691e-05,1e-05,0.03319580003153533,0.44989740004530177,0.483268300013151,1.9999794000177644,2.033481299993582,2.3000170000013895,2.3000170000013895,2.3166758000152186,0.016658800013829023,2.5999367000185885,7.558287599997129,5.25827059999574,5.241611799981911,0.84618,0.06868797767665197,-0.13089595745928018,7.558287599997129,0.1458802395560945,0.023890283873290515,space,4.9506784999975935,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,red,0.6571955268907794,0.6583333333333333,2.299963800003752,0.9909041000064462,1.4299992471933365e-05,1e-05,0.032845099980477244,0.6580120000289753,0.6916513000032865,1.9997940000030212,2.033062100003008,2.299963800003752,2.299963800003752,2.7412424000212923,0.44127860001754016,2.5996548000257462,7.3330721000093035,5.033108300005551,4.591829699988011,0.52619,0.14732331218502107,-0.01215037626268215,7.3330721000093035,0.13016112939538768,-0.07007046703859669,space,4.727605799969751,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,red,1.4627208427674936,1.4583333333333333,2.2999024000018835,0.9984987999778241,1.4099990949034691e-05,1e-05,,1.4586140000028536,1.4916135999956168,2.000105400045868,,2.2999024000018835,2.2999024000018835,2.2999024000018835,0.0,2.59986580000259,5.491573300037999,3.191670900036115,3.191670900036115,1.8147,-0.08127494417279243,0.12347539595481927,5.491573300037999,-0.14681088372906284,-0.017272937653494833,space,2.890672200010158,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
,,,,,,,,,,,,,4,0,4,0,test,,,,,,red,1.1096623673678405,1.1083333333333334,2.2998390999855474,0.9984774999902584,1.6600009985268116e-05,2e-05,0.03299039998091757,1.1081794000347145,1.1414024999830872,1.9999277000315487,2.03304670000216,2.2998390999855474,2.2998390999855474,2.2998390999855474,0.0,2.5998131000087596,5.274646900012158,2.9748078000266105,2.9748078000266105,1.65554,-0.13052386693592385,0.06939243558618738,5.274646900012158,-0.04992587272753786,-0.13913733211788853,space,2.6710543000372127,,,,,,,,p12_high_01,001,2023-05-10_11h33.37.701,expectation_shapes_perceived_time,2022.2.4,119.94348267536306,
