id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,fam,0.6403401999850757,0.6403401999850757,270.0,2.640338099998189,2.640338099998189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,1,0,1,0,,,,,fam,0.49609200001577847,0.49609200001577847,270.0,2.4960242000233848,2.4960242000233848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,2,0,2,0,,,,,fam,0.4984714000020176,0.4984714000020176,270.0,2.498307300003944,2.498307300003944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,3,0,3,0,,,,,fam,0.4982884999772068,0.4982884999772068,270.0,2.498186699987855,2.498186699987855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,4,0,4,0,,,,,fam,0.4983341000042856,0.4983341000042856,270.0,2.498388200008776,2.498388200008776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,5,0,5,0,,,,,fam,0.49855200000456534,0.49855200000456534,270.0,2.498602800013032,2.498602800013032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,6,0,6,0,,,,,fam,0.49840620000031777,0.49840620000031777,270.0,2.498277100006817,2.498277100006817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,7,0,7,0,,,,,fam,0.4990078999835532,0.4990078999835532,270.0,2.498414799978491,2.498414799978491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,8,0,8,0,,,,,fam,0.4984950000070967,0.4984950000070967,270.0,2.4986480999796186,2.4986480999796186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,9,0,9,0,,,,,fam,0.4983677999989595,0.4983677999989595,270.0,2.4983845000097062,2.4983845000097062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,10,0,10,0,,,,,fam,0.4984573999827262,0.4984573999827262,270.0,2.4983311999822035,2.4983311999822035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,11,0,11,0,,,,,fam,0.49531820000265725,0.49531820000265725,270.0,2.4954097000008915,2.4954097000008915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,12,0,12,0,,,,,fam,0.49830400000791997,0.49830400000791997,270.0,2.4984500000136904,2.4984500000136904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,13,0,13,0,,,,,fam,0.49861959999543615,0.49861959999543615,270.0,2.498830700002145,2.498830700002145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,14,0,14,0,,,,,fam,0.498552999983076,0.498552999983076,270.0,2.4988647999998648,2.4988647999998648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,15,0,15,0,,,,,fam,0.4987828999874182,0.4987828999874182,270.0,2.4986949999874923,2.4986949999874923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,16,0,16,0,,,,,fam,0.4982268000021577,0.4982268000021577,270.0,2.4982711999909952,2.4982711999909952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,17,0,17,0,,,,,fam,0.4989314000122249,0.4989314000122249,270.0,2.4986603000143077,2.4986603000143077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,18,0,18,0,,,,,fam,0.49874050001380965,0.49874050001380965,270.0,2.4987070000206586,2.4987070000206586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,19,0,19,0,,,,,fam,0.4987375999917276,0.4987375999917276,270.0,2.4985933999996632,2.4985933999996632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,green,1.320603966311419,1.325,2.2997653000056744,0.9990193000121508,5.529998452402651e-05,6e-05,0.03288569999858737,1.3244827000016812,1.3582055000006221,1.999525099992752,2.0331238000071608,2.2997653000056744,2.2997653000056744,2.5999922000046354,11.324537000007695,9.02477170000202,23.108072200004244,20.80830689999857,11.78353519999655,0.94305,0.0263072828031516,-0.1454637990291912,23.108072200004244,-0.12496158249340332,-0.07897083548522377,space,20.503058000002056,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,red,0.9898241053643166,0.9916666666666667,2.300541800010251,0.998071300011361,1.3900018529966474e-05,1e-05,,0.9917446000035852,1.0250315000012051,2.0003073000116274,,2.300541800010251,2.300541800010251,2.600279900012538,2.8168391000072006,0.5162972999969497,8.091880699998,5.79133889998775,5.2750415999908,0.23461,0.09935300746954975,0.10945670314441922,8.091880699998,0.004724893311419235,-0.14774797913909224,space,5.490789100003894,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,green,1.638424915592094,1.6416666666666666,2.3000294999801554,0.99823810000089,1.3699987903237343e-05,1e-05,,1.6414283000049181,1.67472949999501,2.0000756999943405,2.033419399987906,2.3000294999801554,2.3000294999801554,2.600290300004417,2.658243899990339,0.35821440001018345,7.841576499980874,5.541547000000719,5.1833325999905355,1.54421,-0.14640011234068,0.020464531832568172,7.841576499980874,-0.13406451686199303,0.06227756638670386,space,5.239846800017403,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,red,0.8454625461136479,0.85,2.2996857999823987,0.998855799989542,1.4399993233382702e-05,1e-05,0.03269120000186376,0.8498388000007253,0.8831171999918297,1.999655099993106,2.0330306999967434,2.2996857999823987,2.2996857999823987,2.5993462999758776,2.2996857999823987,0.0,9.116929199983133,6.817243400000734,6.817243400000734,0.77478,0.09608047726154317,-0.11234025033657355,9.116929199983133,0.06898111533464982,-0.1307417136329399,space,6.510456900025019,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,4,0,4,0,test,,,,,,red,0.45483924349479327,0.4583333333333333,2.2999840999837033,0.9978246999962721,1.3699987903237343e-05,1e-05,,0.4582630999793764,0.4918075999885332,2.000334499985911,,2.2999840999837033,2.2999840999837033,2.5997156999947038,2.2999840999837033,0.0,6.958299199992325,4.658315100008622,4.658315100008622,0.6346,0.13480343726991434,-0.06066154677146145,6.958299199992325,0.14633823383870886,0.020902422669568266,space,4.353469099994982,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,5,0,5,0,test,,,,,,green,0.15054834477375972,0.15,2.299872500007041,0.9986195999954361,2.8099981136620045e-05,3e-05,0.033150300005218014,0.14993549999780953,0.183118499990087,1.9998315999982879,,2.299872500007041,2.299872500007041,2.6000287999922875,2.958146399992984,0.658273899985943,7.475106500001857,5.175233999994816,4.516960100008873,0.3631,0.1343616917681571,0.06163380356337481,7.475106500001857,0.06733726584590402,0.13159590641386978,space,4.874445499997819,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,6,0,6,0,test,,,,,,green,0.661815081813845,0.6666666666666666,2.299932499998249,0.9983764000062365,1.4299992471933365e-05,1e-05,0.033467100001871586,0.6666200000036042,0.6998564999958035,1.9996969999920111,2.0330802999960724,2.299932499998249,2.299932499998249,2.599693299998762,2.4079297999851406,0.10799729998689145,6.891696499980753,4.591763999982504,4.483766699995613,0.25953,0.10760833722031363,0.101352038544714,6.891696499980753,0.12913054219354347,-0.07195201893825783,space,4.287004399986472,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,7,0,7,0,test,,,,,,red,1.4127770659005012,1.4166666666666667,2.299886900000274,0.9984134999976959,1.8099992303177714e-05,2e-05,0.03305800000089221,1.4164374000101816,1.4497171000111848,1.999720799998613,2.0331707000150345,2.299886900000274,2.299886900000274,2.599641500011785,2.3329435999912675,0.033056699990993366,6.157983000011882,3.8580961000116076,3.8250394000206143,1.36298,-0.13433785176908192,-0.061685748261313136,6.157983000011882,-0.14230838304912727,-0.0400014258549966,space,3.5562521000101697,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,8,0,8,0,test,,,,,,red,1.083409817562426,1.0833333333333333,2.3004122999846004,0.9984812999900896,1.379998866468668e-05,1e-05,0.03369339997880161,1.083244699984789,1.1167848999903072,2.000385199993616,2.033665499999188,2.3004122999846004,2.3004122999846004,2.6004716999887023,2.883795999980066,0.5833836999954656,6.98324109998066,4.682828799996059,4.099445100000594,0.38217,0.13781076655840765,0.05347880493311341,6.98324109998066,-0.038293847542300634,-0.14277734833262928,space,4.3806405999930575,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
,,,,,,,,,,,,,9,0,9,0,test,,,,,,green,0.4483340430079502,0.45,2.3004656999837607,0.9982657000073232,1.3399985618889332e-05,1e-05,0.033842100005131215,0.450270899978932,0.4836131999909412,2.0003570999833755,2.0338854999863543,2.3004656999837607,2.3004656999837607,2.600317399977939,3.4503700000059325,1.1499043000221718,6.975664500001585,4.675198800017824,3.5252944999956526,1.01224,-0.005681318989469197,-0.1477142937261991,6.975664500001585,0.1458805286147014,0.02388851873987196,space,4.374928499979433,,,,,,,,sarah_base0,001,2023-04-29_15h33.10.161,expectation_shapes_perceived_time,2022.2.4,120.19548592963454,
