id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,responseStarted,rtUntillMotionTreshold,cueForRep.started,space2pass.started,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,fam,0.657137000000148,0.657137000000148,269.99999999999955,2.6655055000001084,2.6655055000001084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,1,0,1,0,,,,,fam,0.4982579999996233,0.4982579999996233,269.99999999999955,2.5069632000004276,2.5069632000004276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,2,0,2,0,,,,,fam,0.49830370000017865,0.49830370000017865,269.99999999999955,2.5064803999994183,2.5064803999994183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,3,0,3,0,,,,,fam,0.4991356000000451,0.4991356000000451,269.99999999999955,2.507104399999662,2.507104399999662,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,4,0,4,0,,,,,fam,0.4984571999993932,0.4984571999993932,269.99999999999955,2.506794599999921,2.506794599999921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,red,1.3987809935782696,1.4083333333333332,2.3081357000000935,0.9987780999999814,1.4400000509340316e-05,1e-05,0.03308720000040921,1.4084014000000025,1.4418267000000924,2.000036899999941,2.0331507999999303,2.3081357000000935,2.3081357000000935,0.0,2.3081357000000935,2.608462199999849,6.449730500000442,4.141594800000348,4.141594800000348,1.50637,-0.14779395364965298,0.0029558790729930593,6.449730500000442,-0.14041254442465342,-0.04621804111691288,space,3.8393418000005113,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,red,1.6789309281069549,1.6916666666666667,2.308718399999634,0.998137499999757,2.409999979136046e-05,2e-05,,1.6916160999999192,1.7254825999998502,2.000261799999862,2.0337743000000046,2.308718399999634,2.6084865000002537,0.2997681000006196,2.308718399999634,2.6084865000002537,4.758996599999591,2.450278199999957,2.1505100999993374,1.75707,-0.10217895736246904,0.10682345542439946,4.758996599999591,-0.12507683904996295,0.07878816084767808,space,2.149022600000535,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,red,0.4028026091490099,0.4083333333333333,2.308681599999545,0.9949032000004081,1.4500000361294951e-05,1e-05,,0.40843169999970996,0.4416665999997349,1.9996426999996402,,2.308681599999545,2.308681599999545,0.0,2.308681599999545,2.6081911999999647,4.108360899999752,1.7996793000002071,1.7996793000002071,0.41792,0.14293598494428983,0.037697402622669844,4.108360899999752,0.1409852539410902,0.04444038847328223,space,1.4938810000003286,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,red,1.636982870128892,1.65,2.3082430000004024,0.9983469000007972,1.3500000022759195e-05,1e-05,,1.650257999999667,1.6836843999999473,2.000065199999881,,2.3082430000004024,2.7581358999996155,0.4498928999992131,2.3082430000004024,2.608152300000256,4.542057200000272,2.2338141999998697,1.7839213000006566,1.66705,-0.12793035072046965,0.07406493989079822,4.542057200000272,-0.13434527741224714,0.06166957429329537,space,1.9304875000007087,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
,,,,,,,,,,,,,4,0,4,0,test,,,,,,red,0.8144681168830746,0.8166666666666667,2.3085659999997006,0.998297499999353,1.4199999895936344e-05,1e-05,,0.8163480000002892,0.8495985999998084,1.9997510000002876,,2.3085659999997006,2.700334799999837,0.39176880000013625,2.3085659999997006,2.6080938000004608,4.475005399999645,2.1664393999999447,1.7746705999998085,1.24224,-0.10194724792075507,-0.10704461031679283,4.475005399999645,0.08136481676985739,-0.12341619240803636,space,1.860509600000114,,,,,,,,p3_base_01,001,2023-05-02_11h29.43.266,expectation_shapes_perceived_time,2022.2.4,120.74174066081534,
