id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,target.started,target.stopped,audCueEnd.started,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,audCueStart.stopped,audCueEnd.stopped,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,fam,0.6737108000015724,0.6737108000015724,270.0,2.673726600001828,2.673726600001828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,1,0,1,0,,,,,fam,0.4987306000002718,0.4987306000002718,270.0,2.4989862000002177,2.4989862000002177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,2,0,2,0,,,,,fam,0.4986155000005965,0.4986155000005965,270.0,2.498781100002816,2.498781100002816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,3,0,3,0,,,,,fam,0.49867599999925005,0.49867599999925005,270.0,2.498592700001609,2.498592700001609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,4,0,4,0,,,,,fam,0.4990700000016659,0.4990700000016659,270.0,2.4988951000013913,2.4988951000013913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,red,1.847267584181957,1.8499999999999999,2.300461599999835,0.9984292000008281,2.840000161086209e-05,3e-05,1.8498728000013216,1.883546799999749,1.999913400002697,2.300461599999835,2.300461599999835,2.600323599999683,3.475062400000752,1.174600800000917,10.788870700002008,8.488409100002173,7.313808300001256,1.4028,-0.14098507746528188,-0.044440948331447544,10.788870700002008,-0.06823861391119787,0.13113078024616648,space,8.18424099999902,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,red,1.261462917491174,1.2583333333333333,2.300107200000639,0.996302999999898,1.4499997632810846e-05,1e-05,1.2583778000007442,1.2918501999993168,2.000206699998671,2.300107200000639,2.300107200000639,2.5997609999976703,2.8081442000002426,0.5080369999996037,7.758476399998472,5.458369199997833,4.950332199998229,0.01696,0.007872731682769406,0.14761371905192636,7.758476399998472,-0.10822262922500536,-0.10069584142414692,space,5.151804799999809,0.03347329999814974,2.033586199999263,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,green,0.7521257680180728,0.75,2.2992262999978266,0.998778900000616,0.00011219999942113645,0.00011,0.7494177999979001,0.7826537000000826,1.9991708999987168,2.2992262999978266,2.2992262999978266,2.5995933999984118,2.491354300000239,0.1921280000024126,5.8079794999976,3.5087531999997736,3.316625199997361,0.13055,0.05894109311262893,0.13556451415904652,5.8079794999976,0.10382661782896799,-0.10522273227153603,space,3.201338399998349,0.033307800000329735,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,green,0.7564443633274082,0.7583333333333333,2.3000753999986046,0.9981508999990183,1.2399999832268804e-05,1e-05,0.7582973999997193,0.7916246999993746,1.9997609999991255,2.3000753999986046,2.3000753999986046,2.599838899997849,2.949632500000007,0.6495571000014024,4.999785099997098,2.6997096999984933,2.050152599997091,0.51728,0.14760567978689615,-0.008022047814505225,4.999785099997098,0.10238952111544128,-0.1066216484689696,space,2.3931765999986965,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
,,,,,,,,,,,,,4,0,4,0,test,,,,,,red,0.201791332575572,0.2,2.3005067000012787,0.9983167000027606,1.2500000593718141e-05,1e-05,0.20013960000142106,0.23310900000069523,1.9998693999987154,2.3005067000012787,2.3005067000012787,2.6026601000012306,2.508554300002288,0.20804760000100941,4.758461100002023,2.4579544000007445,2.249906799999735,0.122,0.0552813117894571,0.13709765323785364,4.758461100002023,0.0875601182597285,0.11910086333369832,space,2.1503529000001436,,,,,,,,,,p3_high2_01,001,2023-05-02_16h24.27.328,expectation_shapes_perceived_time,2022.2.4,119.99616012332228,
