id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block,targetTimeMs,famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,trialss.thisRepN,trialss.thisTrialN,trialss.thisN,trialss.thisIndex,isTrial,handMove.started,audioCue2Start.started,handOri,handMove.ended,audioCue2End.started,target_color,expected_target_onset,expected_target_onset_in_frames,fixationPoint.started,fixationPoint.stopped,audCueStart.started,placeholder.started,audCueStart.stopped,target.started,target.stopped,audCueEnd.started,audCueEnd.stopped,responsePointer.started,cueForRep.started,space2pass.started,responseStarted,rtUntillMotionTreshold,responsePointer.stopped,rTAfterMotionTreshold,rtDurationBtwRespMotion,perceivedTime,resp_x_coord,resp_y_coord,feedbackPointer.stopped,actualTime_x_coord,actualTime_y_coord,space2pass.keys,space2pass.rt,expected_delay,expected_delays_frame,expected_distractor,expected_distractor_frame,expBlockFiles,distractor.started,distractor.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,0,0,0,0,,,,,fam,0.6320525999908568,0.6320525999908568,270.0000000000009,2.6239659999992,2.6239659999992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,1,0,1,0,,,,,fam,0.49821459999657236,0.49821459999657236,270.0000000000009,2.4903075999900466,2.4903075999900466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,2,0,2,0,,,,,fam,0.4985389999928884,0.4985389999928884,270.0000000000009,2.490005799991195,2.490005799991195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,3,0,3,0,,,,,fam,0.49882209999486804,0.49882209999486804,270.0000000000009,2.490386599994963,2.490386599994963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,4,0,4,0,,,,,fam,0.4983317000005627,0.4983317000005627,270.0000000000009,2.4903271999937715,2.4903271999937715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,,,,,0,0,0,0,test,,,,,,red,1.6381096375639868,1.6333333333333333,2.2915605000016512,0.9907669999956852,1.3999990187585354e-05,1e-05,0.032921099991654046,1.6331344999925932,1.666649699996924,1.9999431000032928,2.0332285999902524,2.2915605000016512,2.2915605000016512,2.5915343999949982,2.89128699999128,0.5997264999896288,5.316381600001478,3.0248210999998264,2.4250946000101976,0.83231,0.07432178139452125,-0.1277813083625102,5.316381600001478,-0.1341261354716141,0.06214474828929754,space,2.7231171000166796,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,,,,,1,0,1,0,test,,,,,,red,1.4379222573818982,1.4333333333333333,2.291111999991699,0.9989831000129925,0.00011690000246744603,0.00012,0.03313789999810979,1.4328335000027437,1.4660341999988304,1.999198499994236,,2.291111999991699,2.291111999991699,2.590879600000335,2.416082900002948,0.12497090001124889,4.515819599997485,2.224707600005786,2.099736699994537,1.60474,-0.1398927569246854,0.047768258462087695,4.515819599997485,-0.14502125122023668,-0.028646581838099296,space,1.9181980000139447,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,,,,,2,0,2,0,test,,,,,,green,0.21698599665027274,0.21666666666666667,2.2915815000014845,0.9984690999990562,2.3300002794712782e-05,2e-05,0.033312400002614595,0.21650090000184719,0.25009380000119563,1.9998179999965942,2.033388899988495,2.2915815000014845,2.2915815000014845,2.591484999997192,2.4833166000025813,0.19173510000109673,4.274886200000765,1.9833046999992803,1.7915695999981835,0.75749,0.10203930474566947,-0.10695686160088244,4.274886200000765,0.09314355056768221,0.11478705913183573,space,1.6835424000164494,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,,,,,3,0,3,0,test,,,,,,red,0.1965276176291247,0.2,2.2912782999919727,0.9981794000050286,1.4199991710484028e-05,1e-05,0.03330239999922924,0.19954999999026768,0.23333159998583142,1.9995108999864897,2.0332257999980357,2.2912782999919727,2.2912782999919727,2.5913159999909112,2.3081516999955056,0.01687340000353288,4.316298199992161,2.0250199000001885,2.0081464999966556,0.22762,0.09692590253060782,0.11161164533827568,4.316298199992161,0.08557873119750471,0.12053244676482408,space,1.7187980000016978,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
,,,,,,,,,,,,,4,0,4,0,test,,,,,,red,1.6120958168887403,1.6083333333333334,2.291381500006537,0.9986449999996694,1.4000004739500582e-05,1e-05,,1.6081682000076398,1.6414464999979828,1.9994984000077238,,2.291381500006537,2.291381500006537,2.591386300002341,2.399437600004603,0.1080560999980662,4.949632899995777,2.65825139998924,2.5501952999911737,1.91616,-0.03848769845293552,0.14272521509630254,4.949632899995777,-0.13875159128153233,0.05098809540797267,space,2.3539127000112785,,,,,,,,p8_base_01,001,2023-05-03_15h15.37.064,expectation_shapes_perceived_time,2022.2.4,119.72405998998663,
