famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,orientation,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
1,0,1,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
2,0,2,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
3,0,3,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
4,0,4,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
5,0,5,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
6,0,6,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
7,0,7,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
8,0,8,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
9,0,9,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
10,0,10,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
11,0,11,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
12,0,12,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
13,0,13,0,269.9999999999998,231990,001,2023-01-04_21h11.17.222,expectation_shapes_perceived_time,2022.2.4,58.544478875697386,
,,,,269.9999999999998,,,,,,,
