famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
1,0,1,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
2,0,2,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
3,0,3,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
4,0,4,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
5,0,5,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
6,0,6,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
7,0,7,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
8,0,8,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
9,0,9,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
10,0,10,0,282434,001,2023-01-02_22h19.16.728,expectation_shapes_perceived_time,2022.2.4,60.35469245584979,
