famLoop.thisRepN,famLoop.thisTrialN,famLoop.thisN,famLoop.thisIndex,audioCue2Start.started,audioCue2End.started,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0.0020891999993182253,2.033109699999841,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
1,0,1,0,0.0013622000005852897,2.0504128000011406,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
2,0,2,0,0.0012225999998918269,2.0335765999989235,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
3,0,3,0,0.0016151999989233445,2.0330864999996265,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
4,0,4,0,0.0018356999989919132,2.0662960999998177,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
5,0,5,0,0.0012853999996877974,2.032545100000789,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
6,0,6,0,0.0013163000003260095,2.0330439000008482,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
7,0,7,0,0.0014434000004257541,2.0337583999989874,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
8,0,8,0,0.0013421999992715428,2.032570299999861,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
9,0,9,0,0.001323200000115321,2.0332221999997273,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
10,0,10,0,0.0016821000008349074,2.0335154000003968,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
11,0,11,0,0.0022202999989531236,2.032202899999902,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
12,0,12,0,0.0022190999989106786,2.2085590999995475,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
13,0,13,0,0.0015667999996367143,2.0327371999992465,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
14,0,14,0,0.0018503000010241522,2.035952399999587,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
15,0,15,0,0.0012194000009912997,2.032514300000912,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
16,0,16,0,0.001242899999851943,2.032426799998575,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
17,0,17,0,0.0017955999992409488,2.0333348000003753,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
18,0,18,0,0.0015244999995047692,2.1309848000000784,956137,001,2023-01-02_16h57.13.973,expectation_shapes_perceived_time,2022.2.4,60.764637897486494,
,,,,0.0012368999996397179,2.0350944999991043,,,,,,,
