"id","delay","expectation","congruency","trial_num","stim_color","distractor_color","block"
"1",-233,0.15,"unmet",1,"red","green","high_Expectation"
"1",-100,0.85,"met",2,"green","red","high_Expectation"
"1",-167,0.85,"met",3,"green","red","high_Expectation"
"1",33,0.15,"unmet",4,"red","green","high_Expectation"
"1",100,0.85,"met",5,"green","red","high_Expectation"
"1",-167,0.85,"met",6,"green","red","high_Expectation"
"1",100,0.85,"met",7,"green","red","high_Expectation"
"1",-233,0.85,"met",8,"green","red","high_Expectation"
"1",-33,0.85,"met",9,"green","red","high_Expectation"
"1",100,0.85,"met",10,"green","red","high_Expectation"
"1",167,0.15,"unmet",11,"red","green","high_Expectation"
"1",300,0.85,"met",12,"green","red","high_Expectation"
"1",-233,0.85,"met",13,"green","red","high_Expectation"
"1",-300,0.85,"met",14,"green","red","high_Expectation"
"1",-233,0.85,"met",15,"green","red","high_Expectation"
"1",300,0.15,"unmet",16,"red","green","high_Expectation"
"1",167,0.85,"met",17,"green","red","high_Expectation"
"1",100,0.85,"met",18,"green","red","high_Expectation"
"1",-33,0.85,"met",19,"green","red","high_Expectation"
"1",-300,0.85,"met",20,"green","red","high_Expectation"
"1",233,0.85,"met",21,"green","red","high_Expectation"
"1",100,0.85,"met",22,"green","red","high_Expectation"
"1",300,0.85,"met",23,"green","red","high_Expectation"
"1",300,0.85,"met",24,"green","red","high_Expectation"
"1",233,0.85,"met",25,"green","red","high_Expectation"
"1",-100,0.85,"met",26,"green","red","high_Expectation"
"1",-233,0.85,"met",27,"green","red","high_Expectation"
"1",300,0.85,"met",28,"green","red","high_Expectation"
"1",33,0.85,"met",29,"green","red","high_Expectation"
"1",-100,0.15,"unmet",30,"red","green","high_Expectation"
"1",33,0.85,"met",31,"green","red","high_Expectation"
"1",300,0.85,"met",32,"green","red","high_Expectation"
"1",233,0.85,"met",33,"green","red","high_Expectation"
"1",-33,0.85,"met",34,"green","red","high_Expectation"
"1",-167,0.85,"met",35,"green","red","high_Expectation"
"1",-100,0.85,"met",36,"green","red","high_Expectation"
"1",-167,0.85,"met",37,"green","red","high_Expectation"
"1",-233,0.85,"met",38,"green","red","high_Expectation"
"1",-300,0.85,"met",39,"green","red","high_Expectation"
