,delay,expectation,congruency,stim_color,distractor_color,targetTimeMs
0,-33,0.5,none,red,green,1051.6337151566645
1,233,0.5,none,green,red,1324.7397548353563
2,233,0.5,none,red,green,1034.7628589270296
3,233,0.5,none,green,red,1595.139781181498
4,300,0.5,none,red,green,935.956049693788
5,33,0.5,none,green,red,1314.0972926556371
6,167,0.5,none,red,green,1275.1270263068693
7,100,0.5,none,green,red,1112.3294802182008
8,167,0.5,none,red,green,1603.779699430508
9,-167,0.5,none,green,red,849.3100783101269
10,-100,0.5,none,red,green,1006.1712505937954
11,-167,0.5,none,green,red,1608.723683887852
12,33,0.5,none,red,green,1266.3560446129866
13,100,0.5,none,green,red,911.4130380090962
14,-167,0.5,none,red,green,1318.6493875830588
15,-233,0.5,none,green,red,849.837306466305
16,-100,0.5,none,red,green,999.7401498768156
17,300,0.5,none,green,red,298.0683694612284
18,-233,0.5,none,red,green,1378.928151798883
19,300,0.5,none,green,red,867.6130566762281
20,-300,0.5,none,red,green,1567.754940476172
21,-33,0.5,none,green,red,373.77697426077384
22,-33,0.5,none,red,green,335.4091272412556
23,167,0.5,none,green,red,524.4984848841514
24,300,0.5,none,red,green,1417.0763279845166
25,-233,0.5,none,green,red,1093.4908769388926
26,100,0.5,none,red,green,754.5136739146736
27,-100,0.5,none,green,red,1015.2780988609677
28,233,0.5,none,red,green,715.1762546087406
29,300,0.5,none,green,red,1146.1665836296054
30,100,0.5,none,red,green,406.5014862874806
31,300,0.5,none,green,red,1437.057230752739
32,33,0.5,none,red,green,825.2200031765352
33,-100,0.5,none,green,red,1522.0514298667927
34,-300,0.5,none,red,green,1717.7371073495233
35,-100,0.5,none,green,red,618.864834413556
36,-233,0.5,none,red,green,1143.9992578115448
37,167,0.5,none,green,red,1147.5530665533825
38,-167,0.5,none,red,green,851.297269022891
39,100,0.5,none,green,red,1547.5386688645538
40,33,0.5,none,red,green,494.60095064353675
41,-233,0.5,none,green,red,1066.6932182435862
42,-100,0.5,none,red,green,1153.0097783133874
43,33,0.5,none,green,red,364.34940405094676
44,-33,0.5,none,red,green,1059.4071417013786
45,-100,0.5,none,green,red,1508.5511418578535
46,-300,0.5,none,red,green,1383.5199578744641
47,-300,0.5,none,green,red,1071.9775396473447
48,-167,0.5,none,red,green,903.8539143483322
49,33,0.5,none,green,red,1187.3099494634296
50,33,0.5,none,red,green,548.6900104158854
51,-233,0.5,none,green,red,891.2259294733833
52,167,0.5,none,red,green,936.0647440324414
53,-100,0.5,none,green,red,969.447582893914
54,-100,0.5,none,red,green,1361.9333473044228
55,-300,0.5,none,green,red,897.2780234932461
56,100,0.5,none,red,green,749.9196548132126
57,167,0.5,none,green,red,1610.6430926965284
58,300,0.5,none,red,green,840.7713264620493
59,100,0.5,none,green,red,1447.8542148462939
60,100,0.5,none,red,green,1017.4704652742529
61,-100,0.5,none,green,red,1126.5203597642717
62,167,0.5,none,red,green,160.411117317507
63,100,0.5,none,green,red,317.8584989574958
64,300,0.5,none,red,green,1171.5167321407507
65,-167,0.5,none,green,red,1378.8657416731621
66,233,0.5,none,red,green,749.490687592127
67,-233,0.5,none,green,red,1013.8305448185704
