,delay,expectation,congruency,stim_color,distractor_color
0,-233,0.35,unmet,red,green
1,167,0.65,met,green,red
2,-167,0.35,unmet,red,green
3,233,0.65,met,green,red
4,-33,0.35,unmet,red,green
5,100,0.65,met,green,red
6,300,0.65,met,green,red
7,33,0.65,met,green,red
8,300,0.35,unmet,red,green
9,-100,0.35,unmet,red,green
10,300,0.65,met,green,red
11,300,0.65,met,green,red
12,33,0.35,unmet,red,green
13,-167,0.65,met,green,red
14,-167,0.35,unmet,red,green
15,233,0.35,unmet,red,green
16,167,0.65,met,green,red
17,-100,0.35,unmet,red,green
18,100,0.35,unmet,red,green
19,-233,0.65,met,green,red
20,33,0.35,unmet,red,green
21,167,0.35,unmet,red,green
22,33,0.35,unmet,red,green
23,-233,0.35,unmet,red,green
24,233,0.65,met,green,red
25,-167,0.35,unmet,red,green
26,100,0.65,met,green,red
27,-233,0.65,met,green,red
28,-300,0.65,met,green,red
29,33,0.65,met,green,red
30,33,0.65,met,green,red
31,300,0.35,unmet,red,green
32,-100,0.65,met,green,red
33,-300,0.65,met,green,red
34,300,0.65,met,green,red
35,167,0.65,met,green,red
36,-33,0.65,met,green,red
37,-100,0.65,met,green,red
38,-300,0.65,met,green,red
39,-100,0.65,met,green,red
40,-33,0.65,met,green,red
41,-300,0.65,met,green,red
42,-167,0.65,met,green,red
43,-33,0.65,met,green,red
44,233,0.35,unmet,red,green
45,100,0.65,met,green,red
46,233,0.65,met,green,red
47,33,0.35,unmet,red,green
48,33,0.35,unmet,red,green
49,-233,0.35,unmet,red,green
50,-33,0.65,met,green,red
51,-33,0.65,met,green,red
52,233,0.35,unmet,red,green
53,300,0.65,met,green,red
54,-300,0.35,unmet,red,green
55,-33,0.65,met,green,red
56,233,0.65,met,green,red
57,-300,0.65,met,green,red
58,-300,0.65,met,green,red
59,233,0.65,met,green,red
60,-167,0.35,unmet,red,green
61,-33,0.65,met,green,red
62,-300,0.65,met,green,red
63,167,0.35,unmet,red,green
64,33,0.35,unmet,red,green
65,167,0.65,met,green,red
66,-300,0.35,unmet,red,green
67,100,0.65,met,green,red
68,233,0.65,met,green,red
69,167,0.35,unmet,red,green
