,delay,expectation,congruency,stim_color,distractor_color,targetTimeMs
0,33,0.85,met,red,green,862.8436820762794
1,-233,0.15000000000000002,unmet,green,red,732.5057663295634
2,-300,0.85,met,red,green,492.49760231134735
3,-233,0.85,met,red,green,925.3401484090165
4,-233,0.85,met,red,green,384.85386023293916
5,-300,0.85,met,red,green,1179.1095051439295
6,-167,0.85,met,red,green,1366.1488712210041
7,-300,0.85,met,red,green,1257.8409418904391
8,33,0.85,met,red,green,735.3742944404667
9,233,0.85,met,red,green,1542.4791087647643
10,-300,0.85,met,red,green,1037.4254345121292
11,33,0.85,met,red,green,1209.0577089242963
12,300,0.85,met,red,green,1546.613884991275
13,-100,0.85,met,red,green,1107.8475127465133
14,167,0.15000000000000002,unmet,green,red,390.20044761568056
15,167,0.85,met,red,green,1526.0177990293218
16,233,0.15000000000000002,unmet,green,red,256.9556702364036
17,-167,0.85,met,red,green,1051.7186367660483
18,167,0.85,met,red,green,200.93391190229156
19,-300,0.85,met,red,green,1526.7791895024889
20,-233,0.85,met,red,green,1190.6971491872064
21,167,0.15000000000000002,unmet,green,red,1501.6271091884057
22,233,0.85,met,red,green,553.9246577500633
23,300,0.85,met,red,green,320.14602554095706
24,-100,0.85,met,red,green,841.861594796846
25,-167,0.15000000000000002,unmet,green,red,1776.1044999724356
26,100,0.85,met,red,green,843.6712663094012
27,33,0.85,met,red,green,1617.3592275593314
28,-233,0.85,met,red,green,1361.9756481260242
29,-33,0.85,met,red,green,776.3420553192904
30,33,0.85,met,red,green,418.5964731779425
31,-100,0.85,met,red,green,475.06620051475113
32,233,0.85,met,red,green,458.90965837009094
33,233,0.85,met,red,green,186.17061664640562
34,-300,0.85,met,red,green,486.7384360217876
35,-33,0.85,met,red,green,694.4188260331334
36,167,0.85,met,red,green,872.2838918615165
37,233,0.85,met,red,green,689.6573985299204
38,300,0.85,met,red,green,853.6267813428011
39,33,0.85,met,red,green,595.3295763001863
40,-33,0.85,met,red,green,1020.7952223400072
41,100,0.85,met,red,green,572.0450497005089
42,100,0.85,met,red,green,797.2536349541919
43,-300,0.85,met,red,green,1242.0995524068624
44,-233,0.85,met,red,green,423.20453264658704
45,-233,0.85,met,red,green,1565.9010537613597
46,-33,0.85,met,red,green,527.0526029852225
47,-33,0.85,met,red,green,685.3084896646278
48,100,0.85,met,red,green,876.7644417054283
49,-33,0.15000000000000002,unmet,green,red,745.8734476961027
50,300,0.85,met,red,green,1399.4546882488864
51,300,0.85,met,red,green,1234.7429611792522
52,-233,0.85,met,red,green,1471.3514784273482
53,100,0.85,met,red,green,1081.1372369269861
54,100,0.85,met,red,green,1611.5737110819698
55,100,0.85,met,red,green,386.7944433735406
56,300,0.15000000000000002,unmet,green,red,1150.7467966702575
57,-300,0.85,met,red,green,1703.9062320713258
58,-300,0.85,met,red,green,732.1409877423727
59,233,0.85,met,red,green,1095.6262633472406
60,167,0.85,met,red,green,1120.172302634574
61,-100,0.85,met,red,green,367.1762197161126
62,167,0.85,met,red,green,1273.2617164843243
63,100,0.85,met,red,green,1491.6623823228517
64,-233,0.85,met,red,green,1693.1619704551813
65,33,0.15000000000000002,unmet,green,red,267.37883486211365
66,167,0.85,met,red,green,1200.0106014309092
67,33,0.85,met,red,green,1525.5352085743623
68,-233,0.85,met,red,green,876.6791747840714
69,-167,0.85,met,red,green,1197.8203669690329
70,167,0.85,met,red,green,823.3541119556256
71,33,0.85,met,red,green,1062.3829194150321
72,100,0.85,met,red,green,1508.9153643828718
73,33,0.85,met,red,green,1627.999548621864
74,-33,0.85,met,red,green,1099.5232188922132
75,-167,0.85,met,red,green,446.6273216008369
76,-233,0.85,met,red,green,1780.0675054801275
77,100,0.15000000000000002,unmet,green,red,299.9764301222175
78,33,0.15000000000000002,unmet,green,red,1177.2647749585162
79,-167,0.85,met,red,green,808.5713172221459
80,-33,0.85,met,red,green,1231.671154898754
81,-33,0.85,met,red,green,285.9081988794197
82,-300,0.85,met,red,green,952.1995162477964
83,33,0.85,met,red,green,593.5331440641978
84,167,0.15000000000000002,unmet,green,red,728.5520020834861
85,33,0.15000000000000002,unmet,green,red,862.7811941864863
86,-100,0.85,met,red,green,1685.6677868475551
87,-167,0.15000000000000002,unmet,green,red,487.4740731947295
88,-33,0.85,met,red,green,1018.8772366725368
89,-100,0.15000000000000002,unmet,green,red,1271.693354366766
90,-300,0.85,met,red,green,1380.713746389956
91,-233,0.85,met,red,green,1552.8996476492034
92,100,0.85,met,red,green,1700.438687702424
93,-300,0.15000000000000002,unmet,green,red,995.2829202464457
94,-100,0.15000000000000002,unmet,green,red,485.08340765061814
95,-33,0.85,met,red,green,805.1669408476822
96,-167,0.15000000000000002,unmet,green,red,1047.5164550743498
97,-100,0.85,met,red,green,1251.2571193426024
98,-167,0.15000000000000002,unmet,green,red,1010.1251994875474
99,100,0.15000000000000002,unmet,green,red,974.3510590126057
100,-300,0.85,met,red,green,1102.837814631897
101,-233,0.15000000000000002,unmet,green,red,846.1208458206328
102,100,0.85,met,red,green,1294.3173897803736
103,100,0.85,met,red,green,854.0744195356558
104,-300,0.85,met,red,green,648.7160507759678
105,100,0.85,met,red,green,1574.471009839117
106,233,0.85,met,red,green,882.099342086774
107,-167,0.85,met,red,green,1627.94436048083
108,233,0.15000000000000002,unmet,green,red,1426.5021510937522
109,300,0.85,met,red,green,259.62836036336273
110,-33,0.85,met,red,green,915.4497795557307
111,-100,0.85,met,red,green,1374.3260181118828
112,233,0.85,met,red,green,1614.8664043485728
113,-233,0.15000000000000002,unmet,green,red,411.7122647797696
114,-100,0.85,met,red,green,1435.4096829994573
115,-300,0.85,met,red,green,622.6631709493523
116,-167,0.15000000000000002,unmet,green,red,1122.353780188367
117,100,0.85,met,red,green,520.6362588082561
