,delay,expectation,congruency,stim_color,distractor_color,targetTimeMs
0,-33,0.8,met,green,red,1667.514585312528
1,300,0.8,met,green,red,1540.2351223711978
2,-233,0.8,met,green,red,1740.408703372748
3,167,0.8,met,green,red,289.33362117011893
4,-100,0.19999999999999996,unmet,red,green,1787.8504770894024
5,-233,0.19999999999999996,unmet,red,green,1299.7422552655007
6,-233,0.8,met,green,red,1492.118559455468
7,233,0.19999999999999996,unmet,red,green,1132.6684173494705
8,-167,0.8,met,green,red,1185.7900054551042
9,-233,0.19999999999999996,unmet,red,green,1560.0267578996636
10,-233,0.8,met,green,red,859.954728131526
11,-33,0.8,met,green,red,804.6454595382713
12,233,0.8,met,green,red,927.0118178548313
13,100,0.8,met,green,red,407.9676250508399
14,167,0.8,met,green,red,1034.0827487796364
15,-167,0.8,met,green,red,1550.6080483843766
16,167,0.19999999999999996,unmet,red,green,1037.3097755174763
17,33,0.8,met,green,red,1646.0018739267182
18,233,0.8,met,green,red,417.43815124063275
19,-33,0.8,met,green,red,1332.8060309874852
20,33,0.8,met,green,red,1415.3291261922552
21,-233,0.8,met,green,red,625.8576041557105
22,233,0.8,met,green,red,1196.5605465160806
23,233,0.8,met,green,red,1308.4611992047044
24,300,0.8,met,green,red,1454.5856172603292
25,-233,0.8,met,green,red,1773.02925481793
26,33,0.8,met,green,red,995.8563132605673
27,167,0.8,met,green,red,591.9704159199944
28,-300,0.8,met,green,red,551.2271029286713
29,-300,0.8,met,green,red,977.4110519594682
30,-100,0.19999999999999996,unmet,red,green,1578.8692969725041
31,-233,0.19999999999999996,unmet,red,green,1419.0092121249693
32,233,0.8,met,green,red,242.75893414476622
33,300,0.8,met,green,red,498.22127824740767
34,300,0.8,met,green,red,1351.7427879320705
35,-33,0.8,met,green,red,514.7137577150683
36,-100,0.8,met,green,red,753.9497762843864
37,33,0.8,met,green,red,862.091182491117
38,233,0.8,met,green,red,1221.5100901943376
39,233,0.19999999999999996,unmet,red,green,1270.8967072938935
40,300,0.8,met,green,red,504.63256315999513
41,33,0.19999999999999996,unmet,red,green,458.7677532440959
42,-33,0.8,met,green,red,654.0272389303068
43,-167,0.8,met,green,red,925.8865852331518
44,33,0.19999999999999996,unmet,red,green,312.97394445072564
45,-300,0.19999999999999996,unmet,red,green,1426.116648077943
46,300,0.8,met,green,red,1462.3772270449986
47,-233,0.19999999999999996,unmet,red,green,854.1297783161358
48,300,0.8,met,green,red,407.7624115092307
49,167,0.8,met,green,red,595.8373461042937
50,-33,0.8,met,green,red,1561.8430699968999
51,-33,0.8,met,green,red,359.64045938880497
52,33,0.8,met,green,red,1382.5828374437033
53,233,0.8,met,green,red,490.9070071737277
54,300,0.19999999999999996,unmet,red,green,581.7930790351173
55,-233,0.8,met,green,red,1411.053020353983
56,-300,0.8,met,green,red,1345.403058066438
57,-33,0.8,met,green,red,464.8173949688779
58,33,0.8,met,green,red,1532.8942421869895
59,-300,0.8,met,green,red,1284.548219422601
60,-33,0.8,met,green,red,318.82908016596883
