id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block
1,-300,0.65,met,4,green,red,mod_Expectation
1,-233,0.65,met,42,green,red,mod_Expectation
1,-167,0.65,met,1,green,red,mod_Expectation
1,-100,0.35,unmet,37,red,green,mod_Expectation
1,-33,0.35,unmet,99,red,green,mod_Expectation
1,33,0.35,unmet,71,red,green,mod_Expectation
1,100,0.35,unmet,31,red,green,mod_Expectation
1,167,0.65,met,17,green,red,mod_Expectation
1,233,0.65,met,34,green,red,mod_Expectation
1,300,0.65,met,100,green,red,mod_Expectation
1,-300,0.35,unmet,26,red,green,mod_Expectation
1,-233,0.65,met,89,green,red,mod_Expectation
1,-167,0.65,met,24,green,red,mod_Expectation
1,-100,0.35,unmet,92,red,green,mod_Expectation
1,-33,0.35,unmet,52,red,green,mod_Expectation
1,33,0.35,unmet,38,red,green,mod_Expectation
1,100,0.35,unmet,63,red,green,mod_Expectation
1,167,0.65,met,44,green,red,mod_Expectation
1,233,0.65,met,95,green,red,mod_Expectation
1,300,0.65,met,57,green,red,mod_Expectation
1,-300,0.65,met,86,green,red,mod_Expectation
1,-233,0.65,met,91,green,red,mod_Expectation
1,-167,0.65,met,81,green,red,mod_Expectation
1,-100,0.65,met,9,green,red,mod_Expectation
1,-33,0.65,met,47,green,red,mod_Expectation
1,33,0.65,met,6,green,red,mod_Expectation
1,100,0.65,met,56,green,red,mod_Expectation
1,167,0.35,unmet,77,red,green,mod_Expectation
1,233,0.65,met,48,green,red,mod_Expectation
1,300,0.65,met,45,green,red,mod_Expectation
1,-300,0.65,met,25,green,red,mod_Expectation
1,-233,0.65,met,11,green,red,mod_Expectation
1,-167,0.65,met,62,green,red,mod_Expectation
1,-100,0.35,unmet,12,red,green,mod_Expectation
1,-33,0.65,met,98,green,red,mod_Expectation
1,33,0.65,met,16,green,red,mod_Expectation
1,100,0.65,met,70,green,red,mod_Expectation
1,167,0.65,met,64,green,red,mod_Expectation
1,233,0.65,met,23,green,red,mod_Expectation
1,300,0.65,met,50,green,red,mod_Expectation
1,-300,0.65,met,58,green,red,mod_Expectation
1,-233,0.65,met,13,green,red,mod_Expectation
1,-167,0.65,met,85,green,red,mod_Expectation
1,-100,0.35,unmet,51,red,green,mod_Expectation
1,-33,0.35,unmet,41,red,green,mod_Expectation
1,33,0.65,met,8,green,red,mod_Expectation
1,100,0.65,met,82,green,red,mod_Expectation
1,167,0.35,unmet,20,red,green,mod_Expectation
1,233,0.65,met,28,green,red,mod_Expectation
1,300,0.65,met,39,green,red,mod_Expectation
1,-300,0.35,unmet,65,red,green,mod_Expectation
1,-233,0.65,met,68,green,red,mod_Expectation
1,-167,0.65,met,90,green,red,mod_Expectation
1,-100,0.65,met,83,green,red,mod_Expectation
1,-33,0.35,unmet,7,red,green,mod_Expectation
1,33,0.65,met,15,green,red,mod_Expectation
1,100,0.65,met,94,green,red,mod_Expectation
1,167,0.65,met,61,green,red,mod_Expectation
1,233,0.65,met,78,green,red,mod_Expectation
1,300,0.35,unmet,69,red,green,mod_Expectation
1,-300,0.65,met,32,green,red,mod_Expectation
1,-233,0.35,unmet,14,red,green,mod_Expectation
1,-167,0.65,met,46,green,red,mod_Expectation
1,-100,0.65,met,75,green,red,mod_Expectation
1,-33,0.35,unmet,33,red,green,mod_Expectation
1,33,0.35,unmet,67,red,green,mod_Expectation
1,100,0.35,unmet,18,red,green,mod_Expectation
1,167,0.65,met,76,green,red,mod_Expectation
1,233,0.35,unmet,27,red,green,mod_Expectation
1,300,0.65,met,66,green,red,mod_Expectation
1,-300,0.35,unmet,55,red,green,mod_Expectation
1,-233,0.65,met,21,green,red,mod_Expectation
1,-167,0.65,met,2,green,red,mod_Expectation
1,-100,0.65,met,29,green,red,mod_Expectation
1,-33,0.65,met,10,green,red,mod_Expectation
1,33,0.65,met,22,green,red,mod_Expectation
1,100,0.35,unmet,87,red,green,mod_Expectation
1,167,0.65,met,54,green,red,mod_Expectation
1,233,0.35,unmet,96,red,green,mod_Expectation
1,300,0.65,met,3,green,red,mod_Expectation
1,-300,0.65,met,43,green,red,mod_Expectation
1,-233,0.35,unmet,59,red,green,mod_Expectation
1,-167,0.65,met,74,green,red,mod_Expectation
1,-100,0.65,met,36,green,red,mod_Expectation
1,-33,0.65,met,5,green,red,mod_Expectation
1,33,0.65,met,88,green,red,mod_Expectation
1,100,0.65,met,49,green,red,mod_Expectation
1,167,0.35,unmet,60,red,green,mod_Expectation
1,233,0.65,met,72,green,red,mod_Expectation
1,300,0.65,met,19,green,red,mod_Expectation
1,-300,0.35,unmet,79,red,green,mod_Expectation
1,-233,0.35,unmet,53,red,green,mod_Expectation
1,-167,0.65,met,80,green,red,mod_Expectation
1,-100,0.35,unmet,97,red,green,mod_Expectation
1,-33,0.35,unmet,40,red,green,mod_Expectation
1,33,0.35,unmet,93,red,green,mod_Expectation
1,100,0.35,unmet,35,red,green,mod_Expectation
1,167,0.65,met,84,green,red,mod_Expectation
1,233,0.35,unmet,73,red,green,mod_Expectation
1,300,0.35,unmet,30,red,green,mod_Expectation
