id,delay,expectation,congruency,trial_num,stim_color,distractor_color,block
1,-300,0.5,none,59,green,red,no_Expectation
1,-233,0.5,none,77,green,red,no_Expectation
1,-167,0.5,none,23,green,red,no_Expectation
1,-100,0.5,none,68,red,green,no_Expectation
1,-33,0.5,none,46,red,green,no_Expectation
1,33,0.5,none,98,red,green,no_Expectation
1,100,0.5,none,25,green,red,no_Expectation
1,167,0.5,none,33,green,red,no_Expectation
1,233,0.5,none,60,red,green,no_Expectation
1,300,0.5,none,88,red,green,no_Expectation
1,-300,0.5,none,87,green,red,no_Expectation
1,-233,0.5,none,31,green,red,no_Expectation
1,-167,0.5,none,72,red,green,no_Expectation
1,-100,0.5,none,54,red,green,no_Expectation
1,-33,0.5,none,81,green,red,no_Expectation
1,33,0.5,none,24,red,green,no_Expectation
1,100,0.5,none,97,green,red,no_Expectation
1,167,0.5,none,50,red,green,no_Expectation
1,233,0.5,none,90,red,green,no_Expectation
1,300,0.5,none,8,red,green,no_Expectation
1,-300,0.5,none,51,green,red,no_Expectation
1,-233,0.5,none,94,red,green,no_Expectation
1,-167,0.5,none,52,red,green,no_Expectation
1,-100,0.5,none,38,red,green,no_Expectation
1,-33,0.5,none,6,red,green,no_Expectation
1,33,0.5,none,86,red,green,no_Expectation
1,100,0.5,none,65,green,red,no_Expectation
1,167,0.5,none,48,red,green,no_Expectation
1,233,0.5,none,79,green,red,no_Expectation
1,300,0.5,none,7,green,red,no_Expectation
1,-300,0.5,none,49,green,red,no_Expectation
1,-233,0.5,none,93,green,red,no_Expectation
1,-167,0.5,none,55,green,red,no_Expectation
1,-100,0.5,none,80,red,green,no_Expectation
1,-33,0.5,none,57,green,red,no_Expectation
1,33,0.5,none,35,green,red,no_Expectation
1,100,0.5,none,74,red,green,no_Expectation
1,167,0.5,none,37,green,red,no_Expectation
1,233,0.5,none,11,green,red,no_Expectation
1,300,0.5,none,5,green,red,no_Expectation
1,-300,0.5,none,66,red,green,no_Expectation
1,-233,0.5,none,92,red,green,no_Expectation
1,-167,0.5,none,18,red,green,no_Expectation
1,-100,0.5,none,42,red,green,no_Expectation
1,-33,0.5,none,12,red,green,no_Expectation
1,33,0.5,none,20,red,green,no_Expectation
1,100,0.5,none,16,red,green,no_Expectation
1,167,0.5,none,62,red,green,no_Expectation
1,233,0.5,none,100,red,green,no_Expectation
1,300,0.5,none,39,green,red,no_Expectation
1,-300,0.5,none,40,red,green,no_Expectation
1,-233,0.5,none,9,green,red,no_Expectation
1,-167,0.5,none,36,red,green,no_Expectation
1,-100,0.5,none,73,green,red,no_Expectation
1,-33,0.5,none,14,red,green,no_Expectation
1,33,0.5,none,27,green,red,no_Expectation
1,100,0.5,none,99,green,red,no_Expectation
1,167,0.5,none,69,green,red,no_Expectation
1,233,0.5,none,84,red,green,no_Expectation
1,300,0.5,none,45,green,red,no_Expectation
1,-300,0.5,none,32,red,green,no_Expectation
1,-233,0.5,none,1,green,red,no_Expectation
1,-167,0.5,none,70,red,green,no_Expectation
1,-100,0.5,none,19,green,red,no_Expectation
1,-33,0.5,none,13,green,red,no_Expectation
1,33,0.5,none,89,green,red,no_Expectation
1,100,0.5,none,26,red,green,no_Expectation
1,167,0.5,none,29,green,red,no_Expectation
1,233,0.5,none,56,red,green,no_Expectation
1,300,0.5,none,15,green,red,no_Expectation
1,-300,0.5,none,10,red,green,no_Expectation
1,-233,0.5,none,91,green,red,no_Expectation
1,-167,0.5,none,4,red,green,no_Expectation
1,-100,0.5,none,67,green,red,no_Expectation
1,-33,0.5,none,76,red,green,no_Expectation
1,33,0.5,none,63,green,red,no_Expectation
1,100,0.5,none,34,red,green,no_Expectation
1,167,0.5,none,28,red,green,no_Expectation
1,233,0.5,none,22,red,green,no_Expectation
1,300,0.5,none,75,green,red,no_Expectation
1,-300,0.5,none,43,green,red,no_Expectation
1,-233,0.5,none,2,red,green,no_Expectation
1,-167,0.5,none,53,green,red,no_Expectation
1,-100,0.5,none,58,red,green,no_Expectation
1,-33,0.5,none,47,green,red,no_Expectation
1,33,0.5,none,61,green,red,no_Expectation
1,100,0.5,none,71,green,red,no_Expectation
1,167,0.5,none,78,red,green,no_Expectation
1,233,0.5,none,64,red,green,no_Expectation
1,300,0.5,none,3,green,red,no_Expectation
1,-300,0.5,none,82,red,green,no_Expectation
1,-233,0.5,none,41,green,red,no_Expectation
1,-167,0.5,none,30,red,green,no_Expectation
1,-100,0.5,none,95,green,red,no_Expectation
1,-33,0.5,none,85,green,red,no_Expectation
1,33,0.5,none,96,red,green,no_Expectation
1,100,0.5,none,21,green,red,no_Expectation
1,167,0.5,none,44,red,green,no_Expectation
1,233,0.5,none,17,green,red,no_Expectation
1,300,0.5,none,83,green,red,no_Expectation
